cole_cod_dane_establecimiento,cole_nombre_establecimiento,anio,c_naturales,ingles,lectura_critica,matematicas,sociales
113001002413,INSTITUCION EDUCATIVA MADRE LAURA,2022,38.0,79.3,9.1,15.7,47.1
113001002413,INSTITUCION EDUCATIVA MADRE LAURA,2023,25.0,81.2,0.0,13.5,39.6
113001002413,INSTITUCION EDUCATIVA MADRE LAURA,2024,25.5,84.4,4.3,10.6,44.0
113001002413,INSTITUCION EDUCATIVA MADRE LAURA,2025,18.8,73.9,2.9,17.4,39.1
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,2021,53.3,94.6,18.5,34.8,59.8
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,2022,43.4,90.9,11.1,22.2,52.5
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,2023,44.7,87.1,8.2,23.5,47.1
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,2024,41.1,86.3,11.6,32.6,51.6
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,2025,25.4,76.1,7.5,10.4,35.8
113001002812,INSTITUCION EDUCATIVA MARIA REINA,2021,53.4,95.5,11.3,28.6,57.9
113001002812,INSTITUCION EDUCATIVA MARIA REINA,2022,32.7,91.1,8.9,18.8,50.5
113001002812,INSTITUCION EDUCATIVA MARIA REINA,2023,36.0,91.9,9.0,25.2,48.6
113001002812,INSTITUCION EDUCATIVA MARIA REINA,2024,28.4,90.2,5.9,13.7,49.0
113001002812,INSTITUCION EDUCATIVA MARIA REINA,2025,41.7,90.8,13.5,33.1,60.7
113001002952,INSTITUCION EDUCATIVA DE TERNERA,2021,37.7,84.4,5.2,15.6,36.4
113001002952,INSTITUCION EDUCATIVA DE TERNERA,2022,29.6,77.5,2.8,14.1,29.6
113001002952,INSTITUCION EDUCATIVA DE TERNERA,2023,26.7,81.3,1.3,9.3,32.0
113001002952,INSTITUCION EDUCATIVA DE TERNERA,2024,16.2,78.4,0.0,9.5,33.8
113001002952,INSTITUCION EDUCATIVA DE TERNERA,2025,17.6,65.9,1.2,9.4,32.9
113001002979,INSTITUCION EDUCATIVA LA MILAGROSA,2021,45.7,84.8,10.9,8.7,41.3
113001002979,INSTITUCION EDUCATIVA LA MILAGROSA,2022,14.8,74.1,3.7,14.8,22.2
113001002979,INSTITUCION EDUCATIVA LA MILAGROSA,2023,15.2,69.7,0.0,6.1,21.2
113001002979,INSTITUCION EDUCATIVA LA MILAGROSA,2024,13.3,73.3,0.0,10.0,16.7
113001002979,INSTITUCION EDUCATIVA LA MILAGROSA,2025,7.7,69.2,2.6,0.0,15.4
113001003053,INSTITUCION EDUCATIVA SOLEDAD ACOSTA DE SAMPER,2021,13.8,66.7,1.6,5.2,18.7
113001003053,INSTITUCION EDUCATIVA SOLEDAD ACOSTA DE SAMPER,2022,6.8,55.4,1.0,3.4,9.9
113001003053,INSTITUCION EDUCATIVA SOLEDAD ACOSTA DE SAMPER,2023,7.3,48.1,0.8,4.3,8.2
113001003053,INSTITUCION EDUCATIVA SOLEDAD ACOSTA DE SAMPER,2024,4.5,46.2,0.6,2.5,7.0
113001003053,INSTITUCION EDUCATIVA SOLEDAD ACOSTA DE SAMPER,2025,1.6,35.3,0.0,1.0,6.9
113001003061,INSTITUCION EDUCATIVA HERMANO ANTONIO RAMOS DE LA SALLE,2021,19.0,59.5,1.3,7.6,20.3
113001003061,INSTITUCION EDUCATIVA HERMANO ANTONIO RAMOS DE LA SALLE,2022,8.3,50.0,0.0,5.0,11.7
113001003061,INSTITUCION EDUCATIVA HERMANO ANTONIO RAMOS DE LA SALLE,2023,13.3,54.7,4.0,9.3,25.3
113001003061,INSTITUCION EDUCATIVA HERMANO ANTONIO RAMOS DE LA SALLE,2024,3.0,50.7,0.0,3.0,25.4
113001003061,INSTITUCION EDUCATIVA HERMANO ANTONIO RAMOS DE LA SALLE,2025,4.1,56.2,0.0,1.4,12.3
113001003126,INSTITUCION EDUCATIVA FERNANDO DE LA VEGA,2021,51.6,100.0,16.1,38.7,64.5
113001003126,INSTITUCION EDUCATIVA FERNANDO DE LA VEGA,2022,48.4,93.5,12.9,29.0,71.0
113001003126,INSTITUCION EDUCATIVA FERNANDO DE LA VEGA,2023,44.8,96.6,10.3,24.1,62.1
113001003126,INSTITUCION EDUCATIVA FERNANDO DE LA VEGA,2024,48.6,82.9,14.3,31.4,62.9
113001003126,INSTITUCION EDUCATIVA FERNANDO DE LA VEGA,2025,24.1,93.1,0.0,3.4,58.6
